Date;Close
8.10.2021;53967,9
9.10.2021;54968,2
10.10.2021;54771,6
11.10.2021;57484,8
12.10.2021;56041,1
13.10.2021;57401,1
14.10.2021;57321,5
15.10.2021;61594
16.10.2021;60892,2
17.10.2021;61553,6
18.10.2021;62026,1
19.10.2021;64262
20.10.2021;65992,8
21.10.2021;62210,2
22.10.2021;60692,3
23.10.2021;61393,6
24.10.2021;60930,8
25.10.2021;63039,8
26.10.2021;60363,8
27.10.2021;58482,4
28.10.2021;60622,1
29.10.2021;62228
30.10.2021;61888,8
31.10.2021;61319
1.11.2021;61004,4
2.11.2021;63226,4
3.11.2021;62970,1
4.11.2021;61452,2
5.11.2021;61125,7
6.11.2021;61527,5
7.11.2021;63327
8.11.2021;67566,8
9.11.2021;66971,8
10.11.2021;64995,2
11.11.2021;64950
12.11.2021;64155,9
13.11.2021;64469,5
14.11.2021;65466,8
15.11.2021;63557,9
16.11.2021;60161,3
17.11.2021;60368
18.11.2021;56942,1
19.11.2021;58119,6
20.11.2021;59697,2
21.11.2021;58730,5
22.11.2021;56289,3
23.11.2021;57569,1
24.11.2021;56280,4
25.11.2021;57274,7
26.11.2021;53569,8
27.11.2021;54815,1
28.11.2021;57248,5
29.11.2021;57806,6
30.11.2021;57005,4
1.12.2021;57229,8
2.12.2021;56477,8
3.12.2021;53598,3
4.12.2021;49200,7
5.12.2021;49368,9
6.12.2021;50582,6
7.12.2021;50700,1
8.12.2021;50504,8
9.12.2021;47672,1
10.12.2021;47243,3
11.12.2021;49362,5
12.12.2021;50098,3
13.12.2021;46737,5
14.12.2021;46612,6
15.12.2021;48896,7
16.12.2021;47665,4
17.12.2021;46202,1
18.12.2021;46848,8
19.12.2021;46707
20.12.2021;46880,3
21.12.2021;48936,6
22.12.2021;48628,5
23.12.2021;50784,5
24.12.2021;50822,2
25.12.2021;50429,9
26.12.2021;50809,5
27.12.2021;50640,4
28.12.2021;47588,9
29.12.2021;46444,7
30.12.2021;47178,1
31.12.2021;46306,5
1.01.2022;47686,8
2.01.2022;47345,2
3.01.2022;46458,1
4.01.2022;45897,6
5.01.2022;43569
6.01.2022;43160,9
7.01.2022;41557,9
8.01.2022;41733,9
9.01.2022;41911,6
10.01.2022;41821,3
11.01.2022;42735,9
12.01.2022;43949,1
13.01.2022;42591,6
14.01.2022;43099,7
15.01.2022;43177,4
16.01.2022;43113,9
17.01.2022;42250,6
18.01.2022;42375,6
19.01.2022;41744,3
20.01.2022;40680,4
21.01.2022;36457,3
22.01.2022;35030,3
23.01.2022;36276,8
24.01.2022;36654,3
25.01.2022;36954
26.01.2022;36852,1
27.01.2022;37138,2
28.01.2022;37784,3
29.01.2022;38138,2
30.01.2022;37917,6
31.01.2022;38483,1
1.02.2022;38743,3
2.02.2022;36953
3.02.2022;37154,6
4.02.2022;41500,9
5.02.2022;41441,2
6.02.2022;42412,4
7.02.2022;43840,3
8.02.2022;44118,5
9.02.2022;44338,8
10.02.2022;43565,1
11.02.2022;42407,9
12.02.2022;42244,5
13.02.2022;42197,5
14.02.2022;42586,9
15.02.2022;44575,2
16.02.2022;43961,9
17.02.2022;40538
18.02.2022;40031
19.02.2022;40122,2
20.02.2022;38431,4
21.02.2022;37075,3
22.02.2022;38286
23.02.2022;37296,6
24.02.2022;38332,6
25.02.2022;39214,2
26.02.2022;39105,2
27.02.2022;37709,8
28.02.2022;43193,2
1.03.2022;44354,6
2.03.2022;43924,1
3.03.2022;42451,8
4.03.2022;39137,6
5.03.2022;39400,6
6.03.2022;38420
7.03.2022;38062
8.03.2022;38737,3
9.03.2022;41982,9
10.03.2022;39437,5
11.03.2022;38795
12.03.2022;38904
13.03.2022;37849,7
14.03.2022;39666,8
15.03.2022;39338,8
16.03.2022;41143,9
17.03.2022;40951,4
18.03.2022;41801,2
19.03.2022;42190,7
20.03.2022;41247,8
21.03.2022;41078
22.03.2022;42358,8
23.03.2022;42893
24.03.2022;43960,9
25.03.2022;44348,7
26.03.2022;44500,8
27.03.2022;46820,5
28.03.2022;47128
29.03.2022;47465,7
30.03.2022;47062,7
31.03.2022;45538,7
1.04.2022;46281,6
2.04.2022;45869
3.04.2022;46453,6
4.04.2022;46622,7
5.04.2022;45556
6.04.2022;43206,7
7.04.2022;43503,9
8.04.2022;42287,7
9.04.2022;42782,1
10.04.2022;42207,7
11.04.2022;39521,9
12.04.2022;40127,2
13.04.2022;41166,7
14.04.2022;39935,5
15.04.2022;40553,5
16.04.2022;40424,5
17.04.2022;39717
18.04.2022;40826,2
19.04.2022;41502,8
20.04.2022;41374,4
21.04.2022;40527,4
22.04.2022;39740,3
23.04.2022;39486,7
24.04.2022;39469,3
25.04.2022;40458,3
26.04.2022;38117,5
27.04.2022;39241,1
28.04.2022;39773,8
29.04.2022;38609,8
30.04.2022;37714,9
1.05.2022;38469,1
2.05.2022;38529,3
3.05.2022;37750,5
4.05.2022;39698,4
5.05.2022;36575,1
6.05.2022;36040,9
7.05.2022;35502
8.05.2022;34059,3
9.05.2022;30297
10.05.2022;31022,9
11.05.2022;28936,4
12.05.2022;29047,8
13.05.2022;29283,1
14.05.2022;30101,3
15.05.2022;31305,1
16.05.2022;29862,9
17.05.2022;30425,9
18.05.2022;28720,3
19.05.2022;30314,3
20.05.2022;29200,7
21.05.2022;29432,2
22.05.2022;30323,7
23.05.2022;29098,9
24.05.2022;29655,6
25.05.2022;29562,4
26.05.2022;29267,2
27.05.2022;28627,6
28.05.2022;28814,9
29.05.2022;29446
30.05.2022;31726,4
31.05.2022;31792,3
1.06.2022;29799,1
2.06.2022;30467,5
3.06.2022;29704,4
4.06.2022;29832,9
5.06.2022;29906,7
6.06.2022;31370,7
7.06.2022;31155,5
8.06.2022;30214,4
9.06.2022;30112
10.06.2022;29083,8
11.06.2022;28360,8
12.06.2022;26762,7
13.06.2022;22487,4
14.06.2022;22206,8
15.06.2022;22572,8
16.06.2022;20381,7
17.06.2022;20471,5
18.06.2022;19017,6
19.06.2022;20553,3
